,Класс,Ссылка,Текст,Токены
0,БЕСПОКОЙСТВО,https://lexrus.ru/inout/EMO/Bespokojstvo.pdf,"Лексема Грамматическая Дефиниция Иллюстрация
характеристика
Эмоциональное состояние
I. Ажитация
Азарт
Аффект
Беспокоиться
Беспокойство
Будоражиться
Взвинтиться
Взвинченность
Взволнованность
Возбуждение
Возбужденность
Всполох
Встряска
Исступление
Исступленный
Колгота
Колготиться
Маета
Маетно
Мястись
Наволноваться
Натерпеться
Неистовость
Неистовствовать
Неистовый
Нервничать
Нервотрепка
Неспокойный
Обеспокоиться / обеспокоиваться
Переполох
ПеретревожитьсяПобеспокоиться
Погорячиться
Покипятиться
Понервничать
Потерянность
Потревожиться
Потрясение
Почесаться
Смятение
Смятенность
Смятенный
Транс
Тревога
Тревожность
Тревожный
Шумиха
Экзальтация
Экзальтированность
Экзальтированный
II. Беспокойно
3
Беепокойный
2
Взвинченный
2
Волнение
2
Волноваться
2
Докука
2
Заботиться;.
Забытьез
Настороженный
2
Нервныйз
Неспокойноз
Обеспокоенныйг
Оживление
3
Озабоченныйз
Переживать
2
Подъем
3
Потерянный
2
Разгоряченный
3Раздражение
2
Раздраженный
2
Растроганный
2
Смутно
2
Смутный
2
Смущение
2
Смущенный
Сполох
Томиться
2
Томление
2
Тревожно
2
Трепет
2
Трепетать
2
Трепетный
2
Трепещущий
2
Угрызение
2
Шумливый
3
Ажиотаж
Взволнованный
2
Горячка
2
Ершиться
2
Зуд
2
Кипение
2
Кипятитьсяз
Лихорадить
2
Лихорадказ
III.
Накалз
Опьянелый
Пароксизм
2
Пенитьсяз
Провертеться
2
Сгореть
6
Сотрясаться / сотрястись
Шатание
3
Шум
3
Становление эмоционального состоянияВзбаламутиться / взбаламучиваться
Взбудоражиться /
взбудораживаться
Взвинтиться / взвинчиваться
Всполошиться / полошиться
Встревожиться / тревожиться
Задориться
Занервничать
Изволноваться
Изнервничаться
I.
Насторожиться / настораживаться
Перенервничать
Переполошиться
Разволноваться
Разгорячиться
Разжечься / разжигаться
Разнервничаться
Растревожиться
Растрогаться
Смутиться/смущаться.
Взволноваться
2
Возбудиться/возбуждаться
2
Замутиться/мутиться ,
3 4
Потрясенный
II. 2
Раздражиться / раздражаться
2
Разыграться / разыгрываться
3
Содрогнуться / содрогаться
2
Теряться / потеряться
4
III. Всколыхнуться
2
Вспрянуть
Завестись / заводиться
5
Накалиться / накаляться
Накаливаться
Потрястись / потрясаться
Пробудиться / пробуждаться
ПробуждениеРазвинтиться / развинчиваться
2
Разойтись / расходиться
10
Раскипятиться
2
Распалиться / распаляться
2
Растравиться / растравляться
Растравливаться
2
Трогаться / тронуться
3
Эмоциональное воздействие
I. Баламутить
Будоражить
Булгачить / взбулгачить
Взбаламутить / взбаламучивать
Взбудоражить / взбудораживать
Волнительный
Всполошить / полошить
Взвинтить / взвинчивать
Встревожить / тревожить
Докучать
Докучный
Забеспокоить
Заботить
Набаламутить
Насторожить / настораживать
Неловкий
Нервировать
Обеспокоить / обеспокоивать
Переволновать
Переполошить
Перетревожить
Побеспокоить / беспокоить
Потревожить
Пронзительный
Психоз
Разволновать
РастревожитьРастрогать
Тревожить
Трогательный
Хлопотный
Беспокоить / обеспокоить
Взволновать / волновать
2
Возбудить
2
Возбуждающий
2
Горячить / разгорячить
Замутить / мутить
3
Мутить / замутить
Взмутить
2
Мять
II. 7
Перемутить
Потрясающий
2
Пронизывающий
3
Проникновенный
2
Раздражить / раздражать
2
Смутить / смущать
Мутить
2
Трогать / тронуть
3
Утрудить / утруждать
III. Бередить
Всколыхивать / всколыхнуть
2
Дергать
4
Задеть
2
Зажигательный
2
Накалять / накалить
2
Охмелить
2
Подвинтить
Подогреть / подогревать
2
Потрясти
3
Приподнять / приподнимать
Приподымать
2
Пробудить / пробуждать
3
Разгорячить / горячить
Разжечь / разжигать
2Разогреть / разогревать
2
Раскалить / раскалять
3
Растравить / растравливать
Растравлять
2
Сверлить
2
Сотрясать / сотрясти
3
Сразить / сражать
2
Щекотать2
2
Электризовать / наэлектризовать
2
Эмоциональное отношение
Забота
Озаботиться / озабочиваться
I.
Предчувствие
Предчувствовать
Внешнее выражение эмоций
Азартничать
Вострепетать
Горячиться
I. Заботливый
Неистовость
Неистовствовать,
Неспокойный.
Забыться
3
Неистовствовать
II. 2
Нервный
4
Нервозный
2
Занести / заносить
5
III. Клохтать
Трястись
2
Эмоциональная характеризация
БаламутБеспокойный
Возмутитель
Горячка
I. Докучливый
Задористый
Маетный
Нервозный
Неспокойный
Неугомонный
Неуравновешенный
Переполошный
Порох
Суетливый
Суматошливый
Суматошный
Темпераментный
Тревожный
Заводной
3
Развинченный
2
II. Суетный
2
Шумный
4
Эмоциональный
2
Горячийз
Лихорадочный
III. 2
Мутный
4
Раздерганный
2
Эмоциональное качество
I. Азартность
Докучливость
Заботливость
Зажигательность
Исступленность
Лихорадочность
Неистовость
НервностьНервозность
Неуравновешенность
Пронзительность
Развинченность
Темперамент
Темпераментность
Трепетность
Трогательность
Экзальтированность
Эмоциональность.",ажитация азарт аффект беспокоиться беспокойство будоражиться взвинтиться взвинченность взволнованность возбуждение возбужденность всполох встряска исступление исступленный маета мястись натерпеться неистовость неистовствовать неистовый нервничать нервотрепка неспокойный обеспокоиться переполох перетревожиться погорячиться покипятиться понервничать потерянность потрясение почесаться смятение смятенность смятенный транс тревога тревожность тревожный шумиха экзальтация экзальтированность экзальтированный беспокойно взвинченный волнение волноваться докука заботиться забытье настороженный нервный неспокойно обеспокоенный оживление озабоченный переживать подъем потерянный разгоряченный раздражение раздраженный растроганный смутно смутный смущение смущенный сполох томиться томление тревожно трепет трепетать трепетный трепещущий угрызение шумливый ажиотаж взволнованный горячка ершиться зуд кипение кипятиться лихорадить лихорадка накал опьянелый пароксизм пениться провертеться сгореть сотрясаться сотрястись шатание шум взбаламутиться взбаламучиваться взбудоражиться взбудораживаться взвинтиться взвинчиваться всполошиться полошиться встревожиться тревожиться задориться занервничать изволноваться изнервничаться насторожиться настораживаться перенервничать переполошиться разволноваться разгорячиться разжечься разжигаться разнервничаться растревожиться растрогаться смутиться смущаться взволноваться возбудиться возбуждаться замутиться мутиться потрясенный раздражиться раздражаться разыграться разыгрываться содрогнуться содрогаться теряться потеряться всколыхнуться завестись заводиться накалиться накаляться накаливаться потрястись потрясаться пробудиться пробуждаться пробуждение развинтиться развинчиваться разойтись расходиться раскипятиться распалиться распаляться растравиться растравляться растравливаться трогаться тронуться баламутить будоражить булгачить взбулгачить взбаламутить взбаламучивать взбудоражить взбудораживать волнительный всполошить полошить взвинтить взвинчивать встревожить тревожить докучать докучный заботить набаламутить насторожить настораживать неловкий нервировать обеспокоить переволновать переполошить перетревожить побеспокоить беспокоить потревожить пронзительный психоз разволновать растревожить растрогать тревожить трогательный хлопотный беспокоить обеспокоить взволновать волновать возбудить возбуждающий горячить разгорячить замутить мутить мутить замутить взмутить мять перемутить потрясающий пронизывающий проникновенный раздражить раздражать смутить смущать мутить трогать тронуть утрудить утруждать бередить всколыхивать всколыхнуть дергать задеть зажигательный накалять накалить охмелить подвинтить подогреть подогревать потрясти приподнять приподнимать приподымать пробудить пробуждать разгорячить горячить разжечь разжигать разогреть разогревать раскалить раскалять растравить растравливать растравлять сверлить сотрясать сотрясти сразить сражать щекотать электризовать наэлектризовать забота озаботиться озабочиваться предчувствие предчувствовать азартничать вострепетать горячиться заботливый неистовость неистовствовать неспокойный забыться неистовствовать нервный нервозный занести заносить клохтать трястись баламут беспокойный возмутитель горячка докучливый маетный нервозный неспокойный неугомонный неуравновешенный порох суетливый суматошливый суматошный темпераментный тревожный заводной развинченный суетный шумный эмоциональный горячий лихорадочный мутный раздерганный азартность докучливость заботливость зажигательность исступленность лихорадочность неистовость нервность нервозность неуравновешенность пронзительность развинченность темперамент темпераментность трепетность трогательность экзальтированность эмоциональность
1,ВДОХНОВЕНИЕ,https://lexrus.ru/inout/EMO/vdohnovenie.pdf,"Лексема Грамматическая Дефиниция Иллюстрация
характеристика
Эмоциональное состояние
I Вдохновение
Вдохновенный
Восторг
Наитие
Одухотворение
Одухотворенность
Патетический
Пафос
Порыв
Прекраснодушие
Прекраснодушный
Приподнятость
Экстаз
Экстатичный
II Воодушевление
2
Воодушевленный
2
Одухотворенный
2
Одушевленный
2
Подъем
3
Порывистый
3
Самозабвение
2
Торжественный
2
Увлечение
2
III Муза
2
Окрыленный
3
Опьянение
Парение
2
Парить
2
Пламень
Пламя
2
Пыл
2
Угар
2
Становление эмоционального состоянияI Вдохновиться / вдохновляться
Воодушевиться /
воодушевляться
Одушевиться/
Одушевляться
Одушевление.
II Загореться / загораться
3
Расцвести / расцветать
3
Эмоциональное воздействие
I Вдохновить / вдохновлять
Воодушевить / воодушевлять
Окрылить / окрылять
II Одухотворить / одухотворять
2
Одушевить / одушевлять
2
III Зажечь
3
Опьянить / опьянять
Пьянить
2
Поднять / поднимать
7
Приподнять / приподнимать
Приподымать
2
Внешнее выражение эмоций
I Одухотворенный
Экстатичный
II Одушевленный
3
Эмоциональная характеризация
I Вдохновитель
Прекраснодушный
Самозабвенный
Эмоциональное качество
I Окрыленность
Патетичность
Порывистость
Самозабвенность",вдохновение вдохновенный восторг наитие одухотворение одухотворенность патетический пафос порыв прекраснодушие прекраснодушный приподнятость экстаз экстатичный воодушевление воодушевленный одухотворенный одушевленный подъем порывистый самозабвение торжественный увлечение муза окрыленный опьянение парение парить пламень пламя пыл угар вдохновиться вдохновляться воодушевиться воодушевляться одушевиться одушевляться одушевление загореться загораться расцвести расцветать вдохновить вдохновлять воодушевить воодушевлять окрылить окрылять одухотворить одухотворять одушевить одушевлять зажечь опьянить опьянять пьянить поднять поднимать приподнять приподнимать приподымать одухотворенный экстатичный одушевленный вдохновитель прекраснодушный самозабвенный патетичность порывистость самозабвенность
2,ВЕРА,https://lexrus.ru/inout/EMO/vera.pdf,"Лексема Грамматическая Дефиниция Иллюстрация
характеристика
Эмоциональное состояние
I Вера
Вериться
Самонадеянный
Самообман
Самоуверенность
Фанатичный
Эмоциональное воздействие
I Убедить / Убеждать
Уверить / Уверять
II Приручить / Приручать
2
Укрепить / Укреплять
Эмоциональное отношение
Верить
Верование
Веровать
Доверие
Доверять
Доверяться / довериться
Извериться / извериваться
Поверить
I
Повериться
Преданность
Приверженность
Убедиться / убеждаться
Уверенность
Увериться / уверяться
Уверовать
Фатализм
II Преданный
2
Приручиться / приручаться
2
Уверенный
2
Укрепиться /укрепляться
2
Фанатизм
2Внешнее выражение эмоций
I Доверить / доверять
Клясться
Клятва
Самонадеянный
II Преданный
2
Эмоциональная характеризация
I Благонадежный
Верный
Доверчивый
Легковерный
Приверженный
Приверженец
Простодушный
Самоуверенный
Убедительный
Фанатический
Фаталист
II Преданный
2
Уверенный
3
Фанатик
2
Эмоциональное качество
Верность
Доверительность
Доверчивость
Легковерие
I Легковерность
Преданность
Приверженность
Самонадеянность
Фанатичность",вера вериться самонадеянный самообман самоуверенность фанатичный убедить убеждать уверить уверять приручить приручать укрепить укреплять верить верование веровать доверие доверять доверяться довериться извериться извериваться поверить преданность приверженность убедиться убеждаться уверенность увериться уверяться уверовать фатализм преданный приручиться приручаться уверенный укрепиться укрепляться фанатизм доверить доверять клясться клятва самонадеянный преданный благонадежный верный доверчивый легковерный приверженный приверженец простодушный самоуверенный убедительный фанатический фаталист преданный уверенный фанатик верность доверительность доверчивость легковерие легковерность преданность приверженность самонадеянность фанатичность
3,ВЛЕЧЕНИЕ,https://lexrus.ru/inout/EMO/vlechenie.pdf,"Лексема Грамматическая Дефиниция Иллюстрация
характеристика
Эмоциональное состояние
I Дерзание
Дерзновение
Домогательство
Маньячество
Одержимый
Похотливый
Увлекательный
II Вожделение
2
Вожделеть
2
Инстинкт
2
Искушение
2
Пафос
2
Поманить
2
Прелыцение ,
2
Тягость
3
Чувство
4
III Огонек
Опьяненный
2
Помешательство
2
Порываться
2
Становление эмоционального состояния
I Завлечься / завлекаться
Обольститься / обольщаться
Пристраститься
II Впиться / впиваться
Помешаться
2
Эмоциональное воздействие
I Вскружить
Завертеть
Заманить / заманивать
Захватить / захватывать
Искушать / искусить
Обольстить / обольщатьОхмурить / охмурять
Привлекательный
Приворожить/привораживать
Прилучить / прилучать
Соблазнительный.
II Влечь
2
Манить
2
Прельстить
2
Привлечь / привлекать
4
Приметный
7
Присушить / присушивать
2
Сманить / сманивать
2
III Забирать / забрать
4
Завлечь / завлекать
2
Завоевать
Зачаровать / зачаровывать
Клонить
Обмануть
Приманить / приманивать
Тяготеть
4
Тяготиться
3
Тянуть / Потянуть
9
Эмоциональное отношение
I Влечение
Дерзать
Искушаться
Платонизм
Пристрастие
Симпатия
Устремленность
II Желание
2
Искание
2
Любить
3
Любовь
2
Прельститься
2
Расположение
5
Слабость
5Страсть
2
Стремление
2
Тяга
7
Тяготение
3
Тяготить
4
Устремление
2
Ярость
3
III Стремиться
3
Уйти
12
Эмоциональная характеризация
I Завлекательный
Заманчивый
Искуситель
Искусительница
Маньяк
Обольститель
Обольстительница
Обольстительный
Похотливый
Привлекательный
Приманчивый
Притягательный
Соблазнитель
Соблазнительница
Хобби
II Завороженный
2
Искатель
2
Манящий
2
Оболыцение
2
Одержимый
Платонический
Ферт
2
Чувственный
3
Ярый
4
III Приманка
2
Эмоциональное качество
I ЗавлекательностьЗаманчивость
Обольстительность
Одержимость
Порывистость,
Похотливость
Привлекательность
Притягательность
Соблазнительность
Увлекательность
II Чувственность
2",дерзание дерзновение домогательство маньячество одержимый похотливый увлекательный вожделение вожделеть инстинкт искушение пафос поманить тягость чувство огонек опьяненный помешательство порываться завлечься завлекаться обольститься обольщаться пристраститься впиться впиваться помешаться вскружить завертеть заманить заманивать захватить захватывать искушать искусить обольстить обольщать охмурить охмурять привлекательный приворожить привораживать прилучить прилучать соблазнительный влечь манить прельстить привлечь привлекать приметный присушить присушивать сманить сманивать забирать забрать завлечь завлекать завоевать зачаровать зачаровывать клонить обмануть приманить приманивать тяготеть тяготиться тянуть потянуть влечение дерзать искушаться платонизм пристрастие симпатия устремленность желание искание любить любовь прельститься расположение слабость страсть стремление тяга тяготение тяготить устремление ярость стремиться уйти завлекательный заманчивый искуситель искусительница маньяк обольститель обольстительница обольстительный похотливый привлекательный приманчивый притягательный соблазнитель соблазнительница хобби завороженный искатель манящий одержимый платонический ферт чувственный ярый приманка завлекательность заманчивость обольстительность одержимость порывистость похотливость привлекательность притягательность соблазнительность увлекательность чувственность
4,ВЫСОКОМЕРИЕ,https://lexrus.ru/inout/EMO/vysokomerie.pdf,"Лексема Грамматическая Дефиниция Иллюстрация
характеристика
Эмоциональное состояние
I Барский
Высокомерный
Заносчивый
Погордиться
Пренебрежительный
Спесивый
Тщеславие
Тщеславный
II Барство
2
Гордиться
2
Гордость
3
Гордый
Становление эмоционального состояния
I Загордиться
Превознестись / превозноситься
II Занестись / заноситься
3
Эмоциональное отношение
I Бравировать
Высокомерие
Пренебрежение
Пренебречь / пренебрегать
Чванство
II Снисхождение
3
Внешнее выражение эмоций
I Важничать
Задаваться
Кичиться
Осанистый
Провещать
Спесивиться
Спесивый,
Тщеславиться
Форсить
ХодульныйЧваниться
II Победоносный
2
Сановитый
2
Снисходительный
3
Увиваться
2
Фуфыриться
3
III Дуться
Эмоциональная характеризация
I Гордец
Задавака
Надменный
Покровительственный
Форсистый
Форсун
Форсунья
Чванный
II Начальственные
Неприступный
2
Пава
2
Цаца
2
III Козырь
3
Ходули
2
Эмоциональное качество
I Апломб
Высокомерность
Заносчивость
Кичливость
Надменность
Пренебрежительность
Спесивость
Спесь
Тщеславие
Фанаберия
Форс
Форсистость
II Важность
2",барский высокомерный заносчивый погордиться пренебрежительный спесивый тщеславие тщеславный барство гордиться гордость гордый загордиться превознестись превозноситься занестись заноситься бравировать высокомерие пренебрежение пренебречь пренебрегать чванство снисхождение важничать задаваться кичиться осанистый провещать спесивиться спесивый тщеславиться форсить ходульный чваниться победоносный сановитый снисходительный увиваться фуфыриться дуться гордец задавака надменный покровительственный форсистый форсун форсунья чванный начальственные неприступный пава цаца козырь ходули апломб высокомерность заносчивость кичливость надменность пренебрежительность спесивость спесь тщеславие фанаберия форс форсистость важность
5,ГОРЕ,https://lexrus.ru/inout/EMO/gore.pdf,"Лексема Грамматическая Дефиниция Иллюстрация
характеристика
Эмоциональное состояние
I Беда
Бессчастный
Боль
Выстрадать
Горе
Горевать
Горевой
Горюниться
Горюшко
Злоключение
Злополучие
Злосчастие
Изведать / изведывать
Изнеможение
Изнеможенный
Изнуренность
Казниться
Крест
Лихо
Маяться
Многострадальный
Мука
Мучение
Мученичество
Мучиться / измучиться
Мытариться / измытариться
Мытарство
Набедоваться
Набедствоваться
Намучиться
Намыкаться
Намытариться
НастрадатьсяНатерпеться
Натомиться
Недоля
Недуг
Нелегко
Несчастье
Огорчение
Огорчительно
Огорчиться / огорчаться
Отведать
Переведать
Перестрадать
Перетерпеть
Перечувствовать
Погоревать
Познать / познавать
Полгоря
Помучиться
Потрясение
Претерпевать / претерпеть
Принять / принимать
Прискорбие
Промаяться
Промаячить
Скорбеть
Скорбность
Скорбь
Страдание
Страдать
Страдательный
Страдающий
Терзание
Томиться
Томление
Травма
Тужиться
УгнетенностьУгрызаться
Угрюмиться
II Больно
2
Зарез
2
Знать
5
Изжить / изживать
2
Изнурение
2
Испытать
2
Испытывать
3
Маяться
2
Набраться / набираться
5
Надрываться
3
Напасть
3
Наплакаться
2
Наприниматься
2
Невтерпеж
Невыносимо
2
Огорченный
3
Отжить / отживать
2
Переживание
2
Перестрадать
2
Плохо
3
Поруха
Прискорбно
2
Расстроенный
6
Расстройство
3
Скорбный
Столбняк
2
Страдательный
2
Страдный
2
Терпеть
3
Потерпеть
Томно
2
Трагизм
2
Трудно
4
Тягать
5
Тягостно
2Тяжело
4
Убитый 1
3
Угнетение
2
Удрученный ,
23
Ужас
3
Ужасно
3
Худо 2
3
Чахнуть / зачахнуть
III Ад
Болеть
Казнь
3
Камень
4
Надлом
3
Надрыв
4
Накипеть / накипать
2
Накипь
2
Переболеть2
Плакать
Понюхать
Пытка
Разрываться
2
Рана
2
Стонать
3
Сулить
Терние
2
Трагедия
2
Тяга
8
Тяжесть
7
Убиваться
3
Удар
Хватить
4
Хлебнуть
3
Ярмо
Становление эмоционального состояния
I Выболеть
Домучиться / домучиваться
ЗагореватьЗамучиться / замучиваться
Затомиться
Изболеть
Известись / изводиться
Изгореваться
Измаяться
Измотаться / изматываться
Измучиться / измучиваться
Мучиться
Измытариться / измытариваться
Мытариться
Изнемогать / изнемочь
Изнуриться / изнуряться
Истерзаться
Истомиться / истомляться
Намориться
Переиспытаться
Перемаяться
Перемучиться
Сбрендить
Смаяться / смаиваться
Угрюметь
Удручиться / удручаться
Умаяться/умаиваться
II Впасть
2
Пережить/переживать ,
23
Перенести/переносить
6
Потрясенный
Расстроиться/расстраиваться
6
Сломиться/сламываться
III Истрепаться/истрепываться
2
Надорваться/надрываться
3
Надсадить
Эмоциональное воздействие
I Глумиться
Затерзать
ЗатомитьИзмаять
Измытарить / измытаривать
мытарить
Изнурить / изнурять
Истиранить
Истомить / истомлять
Истязать
Мучать
Мучительный
Мучительство
Мучить / замучить
Измучить
Мытарить / замытарить измытарить
Накликать/накликать
Накликивать
Огорченный
Огорчить/огорчать
Перемучить
Помучить
Прискорбный
Сгубить/губить
Сдавить/сдавливать
Тиранствовать
Томительный
Томить
Травмировать
Угрызать
Угрызение
Удручить / удручать
Уесть / уедать
Умаять / умаивать
II Болезненный
3
Замучить / мучить
Запилить / запиливать
3
Извести / изводить
3
Измучить
2
Лютый
2Мурыжить
2
Наморить
Наслать / насылать
2
Недобрый
3
Несчастный
3
Опасный
2
Перемучить
2
Проманежить
2
Раздирающий
2
Расстроить / расстраивать
6
Свирепый
2
Сломить / сламывать
Сокрушить / сокрушать
Томительный
2
Тревожить
2
Тягчить
Тяжелый
910
Убить / убивать
11
Угнетать / угнести
2
Удручающий
2
Удручить / удручать
2
III Вогнать/вгонять
2
Глодать
2
Грызть
3
Душить
2
Жечь
3
Загрызть
2, 3
Заесть/заедать
1
Заклевать
Затормошить
Затравить
Измочалить/измочаливать
2
Измять
4
Истерзать
2
Истрепать / истрепывать
2
Казнить
3
МанежитьМучить
2
Надломить
3
Надорвать / надрывать
2
Ноша
Одолеть
Палить
6
Перевернуть / перевертывать
4
Преследовать
3
Пропечь / пропекать
2
Пытать
Раздирать
3
Ранить
2
Растерзать
3
Резать
7
Сгрызть / сгрызать
2
Скрести
4
Сметь
4
Снедать
2
Соленый
5
Сосать
Сушить / высушить
3
Съесть / съедать есть
4
Терзать / растерзать
2
Точить
5
Травить / затравить
8
Тяготеть
5
Тяготить
3
Убийственный
3
Ударить / ударять
2
Удушливый
3
Ущемить / ущемлять
2
Ущипнуть
2
Язвить
1
Внешнее выражение эмоций
I Возрыдать
Выплакать
ВыплакатьсяЗамереть / замирать
Мученический
Оплакать / оплакивать
Плакать
Плач
Подкоситься / подкашиваться
Полуживой
Полумертвый
Поплакать
Прискорбный
Причитать
Проплакать
Проплакаться
Прослезиться
Развыться
Разнюниться
Разреветься
Разрюмиться
Рыдание
Рыдать
Слеза
Столбенеть / остолбенеть
Стон
Страдающий
Траур
Угрюмый
Хныкать
II Млеть
2
Несчастный
2
Обмереть / обмирать
2
Подломиться / подламываться
2
Подступить / подступать
4
Потрясенный
2
Реветь
2
Сгорбиться
2
Скорбный
Убитый
3III Излияние
2
Податься / подаваться
2
Растерзанный
3
Сохнуть / высохнуть
3
Таять
2
Хохлиться / нахохлиться
Эмоциональная характеризация
I Горемыка
Горемычный
Горюн
Горюнья
Горюша
Драматический
Злополучный
Злосчастный
Изнеможенный
Многострадальный
Мученик
Мученица
Мучитель
Мучительница
Навязчивый
Невыносимый
Непереносимый
Несчастливец
Несчастливица
Несчастливый
Несчастный
Палач
Роковой
Слезливый
Страдалец
Страдалица
Страдальческий
Страстотерпец
Угнетатель
УгнетательницаУгнетательский
Угрюмый
II Жгучий
2
Жертва
5
Измочаленный
2
Истомленный
2
Обманчивый
Огорченный
2
Победный
2
Проклятие
4
Томный
2
Трагический
2
Трудный
2
Тягостный
2
Тягость
2
Тяжелый
9,10
Угнетающий
2
III Затравленный
Истерзанный
4
Истрепанный
3
Каторжный
2
Ранимый
2
Тернистый
2
Тиран
3
Тиски
3
Тошный
2
Угнетенный
3
Эмоциональное качество
I Мучительность
Невыносимость
Плачевность
Слезливость
Томительность
Трагичность
Угрюмость",беда бессчастный боль выстрадать горе горевать горевой горюшко злоключение злополучие злосчастие изведать изведывать изнеможение изнеможенный изнуренность казниться крест лихо маяться многострадальный мука мучение мученичество мучиться измучиться мытариться измытариться мытарство набедствоваться намучиться намыкаться настрадаться натерпеться недоля недуг нелегко несчастье огорчение огорчительно огорчиться огорчаться отведать перестрадать перетерпеть перечувствовать погоревать познать познавать полгоря помучиться потрясение претерпевать претерпеть принять принимать прискорбие промаяться скорбеть скорбность скорбь страдание страдать страдательный страдающий терзание томиться томление травма тужиться угнетенность угрызаться больно зарез знать изжить изживать изнурение испытать испытывать маяться набраться набираться надрываться напасть наплакаться невтерпеж невыносимо огорченный отжить отживать переживание перестрадать плохо поруха прискорбно расстроенный расстройство скорбный столбняк страдательный страдный терпеть потерпеть томно трагизм трудно тягать тягостно тяжело убитый угнетение удрученный ужас ужасно худо чахнуть зачахнуть ад болеть казнь камень надлом надрыв накипеть накипать накипь переболеть плакать понюхать пытка разрываться рана стонать сулить терние трагедия тяга тяжесть убиваться удар хватить хлебнуть ярмо выболеть домучиться домучиваться загоревать замучиться замучиваться затомиться изболеть известись изводиться изгореваться измаяться измотаться изматываться измучиться измучиваться мучиться измытариться мытариться изнемогать изнемочь изнуриться изнуряться истерзаться истомиться истомляться намориться перемаяться перемучиться сбрендить смаяться смаиваться угрюметь удручиться удручаться умаяться умаиваться впасть пережить переживать перенести переносить потрясенный расстроиться расстраиваться сломиться сламываться истрепаться истрепываться надорваться надрываться надсадить глумиться затерзать затомить измаять измытарить мытарить изнурить изнурять истиранить истомить истомлять истязать мучать мучительный мучительство мучить замучить измучить мытарить замытарить измытарить накликать накликать накликивать огорченный огорчить огорчать перемучить помучить прискорбный сгубить губить сдавить сдавливать тиранствовать томительный томить травмировать угрызать угрызение удручить удручать уесть уедать умаять умаивать болезненный замучить мучить запилить запиливать извести изводить измучить лютый мурыжить наморить наслать насылать недобрый несчастный опасный перемучить проманежить раздирающий расстроить расстраивать свирепый сломить сламывать сокрушить сокрушать томительный тревожить тягчить тяжелый убить убивать угнетать угнести удручающий удручить удручать вогнать вгонять глодать грызть душить жечь загрызть заесть заедать заклевать затормошить затравить измочалить измочаливать измять истерзать истрепать истрепывать казнить манежить мучить надломить надорвать надрывать ноша одолеть палить перевернуть перевертывать преследовать пропечь пропекать пытать раздирать ранить растерзать резать сгрызть сгрызать скрести сметь снедать соленый сосать сушить высушить съесть съедать есть терзать растерзать точить травить затравить тяготеть тяготить убийственный ударить ударять удушливый ущемить ущемлять ущипнуть язвить возрыдать выплакать выплакаться замереть замирать мученический оплакать оплакивать плакать плач подкоситься подкашиваться полумертвый поплакать прискорбный причитать проплакать проплакаться прослезиться развыться разнюниться разреветься рыдание рыдать слеза столбенеть остолбенеть стон страдающий траур угрюмый хныкать млеть несчастный обмереть обмирать подломиться подламываться подступить подступать потрясенный реветь сгорбиться скорбный убитый излияние податься подаваться растерзанный сохнуть высохнуть таять хохлиться нахохлиться горемыка горемычный горюн горюнья горюша драматический злополучный злосчастный изнеможенный многострадальный мученик мученица мучитель мучительница навязчивый невыносимый непереносимый несчастливец несчастливица несчастливый несчастный палач роковой слезливый страдалец страдалица страдальческий страстотерпец угнетатель угнетательница угнетательский угрюмый жгучий жертва измочаленный истомленный обманчивый огорченный победный проклятие томный трагический трудный тягостный тягость тяжелый угнетающий затравленный истерзанный истрепанный каторжный ранимый тернистый тиран тиски тошный угнетенный мучительность невыносимость плачевность слезливость томительность трагичность угрюмость
